,YEAR,BEGIN_DATE_TIME
0,1950,220
1,1951,260
2,1952,268
3,1953,481
4,1954,595
5,1955,616
6,1956,546
7,1957,907
8,1958,579
9,1959,619
10,1960,633
11,1961,751
12,1962,649
13,1963,463
14,1964,738
15,1965,965
16,1966,585
17,1967,944
18,1968,693
19,1969,637
20,1970,669
21,1971,929
22,1972,746
23,1973,1166
24,1974,1099
25,1975,937
26,1976,926
27,1977,910
28,1978,859
29,1979,903
30,1980,960
31,1981,817
32,1982,1166
33,1983,980
34,1984,994
35,1985,762
36,1986,824
37,1987,672
38,1988,753
39,1989,870
40,1990,1239
41,1991,1188
42,1992,1377
43,1993,597
44,1994,922
45,1995,1197
46,1996,1220
47,1997,1133
48,1998,1483
49,1999,1501
50,2000,1145
51,2001,1325
52,2002,1019
53,2003,1514
54,2004,1908
55,2005,1325
56,2006,1245
57,2007,1232
58,2008,1937
59,2009,1241
60,2010,1425
61,2011,2049
62,2012,1041
63,2013,1032
64,2014,1033
65,2015,1306
66,2016,1024
67,2017,1558
68,2018,1204
69,2019,1503
70,2020,1105
71,2021,1281
72,2022,1189
